gameid; time; roundNum; trialType; condition; nameClickedObj; targetStatusClickedObj; spLocsClickedObj; lisLocsClickedObj; basiclevelClickedObj; superdomainClickedObj; alt1Name; alt1TargetStatus; alt1SpLocs; alt1LisLocs; alt1Basiclevel; alt1superdomain; alt2Name; alt2TargetStatus; alt2SpLocs; alt2LisLocs; alt2Basiclevel; alt2superdomain;numMessages;numSMessages;numLMessages;speakerMessages;listenerMessages;messageTimeStamps;refExp;sizeMentioned;colorMentioned;typeMentioned;otherFeatureMentioned;basiclevelMentioned;superClassMentioned;superclassattributeMentioned;utteranceContracted;oneMentioned;theMentioned;clickedType;clickedSize;clickedColor;colorPreNominal;sizePreNominal;;notes;;;alt1TypeLabelTest;alt1BLLabelTest;alt1DomainLabelTest;alt2TypeLabelTest;alt2BLLabelTest;alt2DomainLabelTest
5934-3;1.45E+12;54;subSuperTrial;distr22;jellyBeans;target;2;3;candy;snack;chips;distrClass2;3;2;NA;snack;pretzels;distrClass2;4;4;NA;snack;4;4;0;i'd like to specialize in large animals___horses;;;;;;;;;;;;;;;;;;;;;;;chips, jellyBeans;chips, candy;chips, snack;pretzels, jellyBeans;pretzels, candy;pretzels, snack
3293-5;1.45E+12;43;subSuperTrial;distr22;gummyBears;target;2;4;candy;snack;cookies;distrClass2;3;2;NA;snack;pretzels;distrClass2;4;3;NA;snack;1;1;0;gummi;;1.45E+12;gummi;FALSE;FALSE;TRUE;;;;;TRUE;;;gummyBears;NA;NA;;;;;;;cookies, gummyBears;cookies, candy;cookies, snack;pretzels, gummyBears;pretzels, candy;pretzels, snack
0198-d;1.45E+12;19;subSuperTrial;distr22;jellyBeans;target;2;4;candy;snack;cookies;distrClass2;4;2;NA;snack;pretzels;distrClass2;3;3;NA;snack;1;1;0;jellybeans;;1.45E+12;jellybeans;FALSE;FALSE;TRUE;;;;;;;;jellyBeans;NA;NA;;;;;;;cookies, jellyBeans;cookies, candy;cookies, snack;pretzels, jellyBeans;pretzels, candy;pretzels, snack
8258-f;1.45E+12;41;subSuperTrial;distr22;gummyBears;target;3;4;candy;snack;popcorn;distrClass2;4;2;NA;snack;pretzels;distrClass2;2;3;NA;snack;1;1;0;gummy bears;;1.45E+12;gummy bears;FALSE;FALSE;TRUE;;;;;;;;gummyBears;NA;NA;;;;;;;popcorn, gummyBears;popcorn, candy;popcorn, snack;pretzels, gummyBears;pretzels, candy;pretzels, snack
2195-2;1.45E+12;69;subSuperTrial;distr22;pug;target;4;3;dog;animal;bison;distrClass2;3;4;NA;animal;rabbit;distrClass2;2;2;NA;animal;1;1;0;CONFUSED DOG;;1.45E+12;CONFUSED DOG;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;pug;NA;NA;;;;;;;bison, pug;bison, dog;bison, animal;rabbit, pug;rabbit, dog;rabbit, animal
5512-7;1.45E+12;11;subSuperTrial;distr22;clownFish;target;4;4;fish;animal;bison;distrClass2;2;2;NA;animal;rabbit;distrClass2;3;3;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;bison, clownFish;bison, fish;bison, animal;rabbit, clownFish;rabbit, fish;rabbit, animal
6456-4;1.45E+12;62;subSuperTrial;distr22;pug;target;3;2;dog;animal;bison;distrClass2;2;4;NA;animal;rabbit;distrClass2;4;3;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;bison, pug;bison, dog;bison, animal;rabbit, pug;rabbit, dog;rabbit, animal
4393-a;1.45E+12;9;subSuperTrial;distr22;blackBear;target;3;2;bear;animal;cow;distrClass2;2;3;NA;animal;rabbit;distrClass2;4;4;NA;animal;1;1;0;Bear;;1.45E+12;Bear;FALSE;FALSE;FALSE;;TRUE;;;;;;blackBear;NA;NA;;;;;;;cow, blackBear;cow, bear;cow, animal;rabbit, blackBear;rabbit, bear;rabbit, animal
8430-f;1.45E+12;66;subSuperTrial;distr22;pigeon;target;3;2;bird;animal;lobster;distrClass2;4;4;NA;animal;rabbit;distrClass2;2;3;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;pigeon;NA;NA;;;;;;;lobster, pigeon;lobster, bird;lobster, animal;rabbit, pigeon;rabbit, bird;rabbit, animal
5239-5;1.45E+12;44;subSuperTrial;distr22;grizzlyBear;target;4;3;bear;animal;sheep;distrClass2;2;2;NA;animal;rabbit;distrClass2;3;4;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;sheep, grizzlyBear;sheep, bear;sheep, animal;rabbit, grizzlyBear;rabbit, bear;rabbit, animal
5076-0;1.45E+12;44;subSuperTrial;distr22;polarBear;target;3;3;bear;animal;elephant;distrClass2;2;2;NA;animal;rhino;distrClass2;4;4;NA;animal;1;1;0;Bear;;1.45E+12;Bear;FALSE;FALSE;FALSE;;TRUE;;;;;;polarBear;NA;NA;;;;;;;elephant, polarBear;elephant, bear;elephant, animal;rhino, polarBear;rhino, bear;rhino, animal
5512-7;1.45E+12;41;subSuperTrial;distr22;germanShepherd;target;4;3;dog;animal;horse;distrClass2;3;2;NA;animal;rhino;distrClass2;2;4;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;horse, germanShepherd;horse, dog;horse, animal;rhino, germanShepherd;rhino, dog;rhino, animal
9807-5;1.45E+12;42;subSuperTrial;distr22;germanShepherd;target;4;4;dog;animal;elephant;distrClass2;2;3;NA;animal;rhino;distrClass2;3;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;elephant, germanShepherd;elephant, dog;elephant, animal;rhino, germanShepherd;rhino, dog;rhino, animal
2919-a;1.45E+12;40;subSuperTrial;distr22;polarBear;target;3;4;bear;animal;elephant;distrClass2;4;3;NA;animal;rhino;distrClass2;2;2;NA;animal;1;1;0;polar bear;;1.45E+12;polar bear;FALSE;FALSE;TRUE;;;;;;;;polarBear;NA;NA;;;;;;;elephant, polarBear;elephant, bear;elephant, animal;rhino, polarBear;rhino, bear;rhino, animal
1223-7;1.45E+12;63;subSuperTrial;distr22;tulip;target;3;2;flower;plant;pottedPlant;distrClass2;2;4;NA;plant;rosemary;distrClass2;4;3;NA;plant;1;1;0;tulip;;1.45E+12;tulip;FALSE;FALSE;TRUE;;;;;;;;tulip;NA;NA;;;;;;;pottedPlant, tulip;pottedPlant, flower;pottedPlant, plant;rosemary, tulip;rosemary, flower;rosemary, plant
5628-2;1.45E+12;68;subSuperTrial;distr22;rose;target;3;4;flower;plant;grasses;distrClass2;4;3;NA;plant;rosemary;distrClass2;2;2;NA;plant;1;1;0;rose;;1.45E+12;rose;FALSE;FALSE;TRUE;;;;;;;;rose;NA;NA;;;;;;;grasses, rose;grasses, flower;grasses, plant;rosemary, rose;rosemary, flower;rosemary, plant
4452-5;1.45E+12;6;subSuperTrial;distr22;tulip;target;4;2;flower;plant;ivy;distrClass2;2;4;NA;plant;rosemary;distrClass2;3;3;NA;plant;1;1;0;tulip;;1.45E+12;tulip;FALSE;FALSE;TRUE;;;;;;;;tulip;NA;NA;;;;;;;ivy, tulip;ivy, flower;ivy, plant;rosemary, tulip;rosemary, flower;rosemary, plant
8286-0;1.45E+12;67;subSuperTrial;distr22;daisy;target;3;4;flower;plant;ivy;distrClass2;4;3;NA;plant;rosemary;distrClass2;2;2;NA;plant;1;1;0;flower;;1.45E+12;flower;FALSE;FALSE;FALSE;;TRUE;;;;;;daisy;NA;NA;;;;;;;ivy, daisy;ivy, flower;ivy, plant;rosemary, daisy;rosemary, flower;rosemary, plant
7830-a;1.45E+12;53;subSuperTrial;distr22;clownFish;target;3;3;fish;animal;cow;distrClass2;4;4;NA;animal;sheep;distrClass2;2;2;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;cow, clownFish;cow, fish;cow, animal;sheep, clownFish;sheep, fish;sheep, animal
3695-5;1.45E+12;39;subSuperTrial;distr22;clownFish;target;2;3;fish;animal;elephant;distrClass2;3;4;NA;animal;sheep;distrClass2;4;2;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;clownFish;NA;NA;;;;;;;elephant, clownFish;elephant, fish;elephant, animal;sheep, clownFish;sheep, fish;sheep, animal
4517-f;1.45E+12;33;subSuperTrial;distr22;pug;target;4;3;dog;animal;iguana;distrClass2;3;4;NA;animal;sheep;distrClass2;2;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;iguana, pug;iguana, dog;iguana, animal;sheep, pug;sheep, dog;sheep, animal
2195-2;1.45E+12;33;subSuperTrial;distr22;pandaBear;target;3;4;bear;animal;squirrel;distrClass2;2;2;NA;animal;sheep;distrClass2;4;3;NA;animal;1;1;0;BEAR;;1.45E+12;BEAR;FALSE;FALSE;FALSE;;TRUE;;;;;;pandaBear;NA;NA;;;;;;;squirrel, pandaBear;squirrel, bear;squirrel, animal;sheep, pandaBear;sheep, bear;sheep, animal
4517-f;1.45E+12;31;subSuperTrial;distr22;grizzlyBear;target;4;2;bear;animal;iguana;distrClass2;3;4;NA;animal;snake;distrClass2;2;3;NA;animal;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;iguana, grizzlyBear;iguana, bear;iguana, animal;snake, grizzlyBear;snake, bear;snake, animal
8258-f;1.45E+12;54;subSuperTrial;distr22;parrot;target;2;3;bird;animal;sheep;distrClass2;4;4;NA;animal;snake;distrClass2;3;2;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;parrot;NA;NA;;;;;;;sheep, parrot;sheep, bird;sheep, animal;snake, parrot;snake, bird;snake, animal
5239-5;1.45E+12;47;subSuperTrial;distr22;dalmatian;target;3;2;dog;animal;cow;distrClass2;2;4;NA;animal;snake;distrClass2;4;3;NA;animal;1;1;0;dalmation;;1.45E+12;dalmation;FALSE;FALSE;TRUE;;;;;;;;dalmatian;NA;NA;;;;;;;cow, dalmatian;cow, dog;cow, animal;snake, dalmatian;snake, dog;snake, animal
9807-5;1.45E+12;71;subSuperTrial;distr22;goldFish;target;2;3;fish;animal;chick;distrClass2;3;4;NA;animal;snake;distrClass2;4;2;NA;animal;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;chick, goldFish;chick, fish;chick, animal;snake, goldFish;snake, fish;snake, animal
3158-b;1.45E+12;2;subSuperTrial;distr22;husky;target;4;2;dog;animal;crocodile;distrClass2;3;4;NA;animal;snake;distrClass2;2;3;NA;animal;1;1;0;wolf;;1.45E+12;wolf;FALSE;FALSE;TRUE;;;;;;;;husky;NA;NA;;;;;;;crocodile, husky;crocodile, dog;crocodile, animal;snake, husky;snake, dog;snake, animal
8430-f;1.45E+12;71;subSuperTrial;distr22;parrot;target;2;4;bird;animal;rhino;distrClass2;3;3;NA;animal;snake;distrClass2;4;2;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;parrot;NA;NA;;;;;;;rhino, parrot;rhino, bird;rhino, animal;snake, parrot;snake, bird;snake, animal
0198-d;1.45E+12;43;subSuperTrial;distr22;pandaBear;target;3;2;bear;animal;rhino;distrClass2;4;4;NA;animal;snake;distrClass2;2;3;NA;animal;1;1;0;panda;;1.45E+12;panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;rhino, pandaBear;rhino, bear;rhino, animal;snake, pandaBear;snake, bear;snake, animal
4842-f;1.45E+12;36;subSuperTrial;distr22;dressShirt;target;4;2;shirt;clothing;dress;distrClass2;3;3;NA;clothing;socks;distrClass2;2;4;NA;clothing;1;1;0;formal wear for guy;;1.45E+12;formal wear for guy;FALSE;FALSE;FALSE;TRUE;;;TRUE;;;;dressShirt;NA;NA;;;;;;;dress, dressShirt;dress, shirt;dress, clothing;socks, dressShirt;socks, shirt;socks, clothing
3695-5;1.45E+12;18;subSuperTrial;distr22;dressShirt;target;2;2;shirt;clothing;dress;distrClass2;3;3;NA;clothing;socks;distrClass2;4;4;NA;clothing;1;1;0;men's shirt;;1.45E+12;men's shirt;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;dressShirt;NA;NA;;;;;;;dress, dressShirt;dress, shirt;dress, clothing;socks, dressShirt;socks, shirt;socks, clothing
7111-e;1.45E+12;51;subSuperTrial;distr22;germanShepherd;target;2;2;dog;animal;bison;distrClass2;3;4;NA;animal;squirrel;distrClass2;4;3;NA;animal;1;1;0;bark;;1.45E+12;bark;FALSE;FALSE;FALSE;;;;TRUE;;;;germanShepherd;NA;NA;;;;;;;bison, germanShepherd;bison, dog;bison, animal;squirrel, germanShepherd;squirrel, dog;squirrel, animal
4452-5;1.45E+12;63;subSuperTrial;distr22;eagle;target;2;3;bird;animal;bison;distrClass2;4;2;NA;animal;squirrel;distrClass2;3;4;NA;animal;1;1;0;eagle;;1.45E+12;eagle;FALSE;FALSE;TRUE;;;;;;;;eagle;NA;NA;;;;;;;bison, eagle;bison, bird;bison, animal;squirrel, eagle;squirrel, bird;squirrel, animal
2919-a;1.45E+12;72;subSuperTrial;distr22;husky;target;4;3;dog;animal;chick;distrClass2;3;4;NA;animal;squirrel;distrClass2;2;2;NA;animal;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;husky;NA;NA;;;;;;;chick, husky;chick, dog;chick, animal;squirrel, husky;squirrel, dog;squirrel, animal
2919-a;1.45E+12;6;subSuperTrial;distr22;convertible;target;4;3;car;vehicle;ambulance;distrClass2;2;2;NA;vehicle;train;distrClass2;3;4;NA;vehicle;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;convertible;NA;NA;;;;;;;ambulance, convertible;ambulance, car;ambulance, vehicle;train, convertible;train, car;train, vehicle
8684-3;1.45E+12;2;subSuperTrial;distr22;minivan;target;3;2;car;vehicle;firetruck;distrClass2;2;4;NA;vehicle;train;distrClass2;4;3;NA;vehicle;1;1;0;the white one;;1.45E+12;the white one;FALSE;TRUE;FALSE;;;;;;TRUE;;minivan;NA;NA;;;;;;;firetruck, minivan;firetruck, car;firetruck, vehicle;train, minivan;train, car;train, vehicle
4517-f;1.45E+12;50;subSuperTrial;distr22;picnicTable;target;2;4;table;furniture;bed;distrClass2;3;3;NA;furniture;wardrobe;distrClass2;4;2;NA;furniture;1;1;0;bench;;1.45E+12;bench;FALSE;FALSE;FALSE;TRUE;;;;;;;picnicTable;NA;NA;;;;;;;bed, picnicTable;bed, table;bed, furniture;wardrobe, picnicTable;wardrobe, table;wardrobe, furniture
6456-4;1.45E+12;18;subSuperTrial;distr22;diningTable;target;4;3;table;furniture;bookcase;distrClass2;2;2;NA;furniture;wardrobe;distrClass2;3;4;NA;furniture;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;bookcase, diningTable;bookcase, table;bookcase, furniture;wardrobe, diningTable;wardrobe, table;wardrobe, furniture
6456-4;1.45E+12;59;subSuperTrial;distr23;germanShepherd;target;3;4;dog;animal;lion;distrClass2;2;3;NA;animal;ambulance;distrClass3;4;2;NA;vehicle;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;germanShepherd;NA;NA;;;;;;;lion, germanShepherd;lion, dog;lion, animal;ambulance, germanShepherd;ambulance, dog;ambulance, animal
7830-a;1.45E+12;49;subSuperTrial;distr23;sportsCar;target;2;2;car;vehicle;lion;distrClass3;3;3;NA;animal;ambulance;distrClass2;4;4;NA;vehicle;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;sportsCar;NA;NA;;;;;;;lion, sportsCar;lion, car;lion, vehicle;ambulance, sportsCar;ambulance, car;ambulance, vehicle
7830-a;1.45E+12;55;subSuperTrial;distr23;polarBear;target;2;2;bear;animal;rhino;distrClass2;4;4;NA;animal;ambulance;distrClass3;3;3;NA;vehicle;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;polarBear;NA;NA;;;;;;;rhino, polarBear;rhino, bear;rhino, animal;ambulance, polarBear;ambulance, bear;ambulance, animal
5628-2;1.45E+12;2;subSuperTrial;distr23;sportsCar;target;4;2;car;vehicle;sheep;distrClass3;2;3;NA;animal;ambulance;distrClass2;3;4;NA;vehicle;1;1;0;audi;;1.45E+12;audi;FALSE;FALSE;FALSE;TRUE;;;;;;;sportsCar;NA;NA;;;;;;;sheep, sportsCar;sheep, car;sheep, vehicle;ambulance, sportsCar;ambulance, car;ambulance, vehicle
6456-4;1.45E+12;16;subSuperTrial;distr23;suv;target;4;4;car;vehicle;sheep;distrClass3;3;2;NA;animal;ambulance;distrClass2;2;3;NA;vehicle;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;suv;NA;NA;;;;;;;sheep, suv;sheep, car;sheep, vehicle;ambulance, suv;ambulance, car;ambulance, vehicle
3293-5;1.45E+12;66;subSuperTrial;distr23;dressShirt;target;3;3;shirt;clothing;ambulance;distrClass3;4;4;NA;vehicle;bathrobe;distrClass2;2;2;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;dressShirt;NA;NA;;;;;;;ambulance, dressShirt;ambulance, shirt;ambulance, clothing;bathrobe, dressShirt;bathrobe, shirt;bathrobe, clothing
8684-3;1.45E+12;25;subSuperTrial;distr23;hawaiiShirt;target;4;3;shirt;clothing;bison;distrClass3;3;2;NA;animal;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;hawaiian;;1.45E+12;hawaiian;FALSE;FALSE;TRUE;;;;;TRUE;;;hawaiiShirt;NA;NA;;;;;;;bison, hawaiiShirt;bison, shirt;bison, clothing;bathrobe, hawaiiShirt;bathrobe, shirt;bathrobe, clothing
6456-4;1.45E+12;24;subSuperTrial;distr23;goldFish;target;3;4;fish;animal;bison;distrClass2;4;3;NA;animal;bathrobe;distrClass3;2;2;NA;clothing;1;1;0;fish;;1.45E+12;fish;FALSE;FALSE;FALSE;;TRUE;;;;;;goldFish;NA;NA;;;;;;;bison, goldFish;bison, fish;bison, animal;bathrobe, goldFish;bathrobe, fish;bathrobe, animal
1223-7;1.45E+12;44;subSuperTrial;distr23;tShirt;target;3;2;shirt;clothing;rhino;distrClass3;4;3;NA;animal;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;blue tshirt;;1.45E+12;blue tshirt;FALSE;TRUE;FALSE;;TRUE;;;;;;tShirt;NA;NA;;;;;;;rhino, tShirt;rhino, shirt;rhino, clothing;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
8286-0;1.45E+12;26;subSuperTrial;distr23;tShirt;target;4;4;shirt;clothing;grasses;distrClass3;3;3;NA;plant;bathrobe;distrClass2;2;2;NA;clothing;1;1;0;shirt;;1.45E+12;shirt;FALSE;FALSE;FALSE;;TRUE;;;;;;tShirt;NA;NA;;;;;;;grasses, tShirt;grasses, shirt;grasses, clothing;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
9551-7;1.45E+12;9;subSuperTrial;distr23;pug;target;2;4;dog;animal;kitten;distrClass2;4;2;NA;animal;bathrobe;distrClass3;3;3;NA;clothing;1;1;0;dog;;1.45E+12;dog;FALSE;FALSE;FALSE;;TRUE;;;;;;pug;NA;NA;;;;;;;kitten, pug;kitten, dog;kitten, animal;bathrobe, pug;bathrobe, dog;bathrobe, animal
7111-e;1.45E+12;4;subSuperTrial;distr23;tShirt;target;3;4;shirt;clothing;popcorn;distrClass3;2;3;NA;snack;bathrobe;distrClass2;4;2;NA;clothing;1;1;0;blue big;;1.45E+12;blue big;TRUE;TRUE;FALSE;;;;;;;;tShirt;NA;NA;;;;;;;popcorn, tShirt;popcorn, shirt;popcorn, clothing;bathrobe, tShirt;bathrobe, shirt;bathrobe, clothing
1223-7;1.45E+12;71;subSuperTrial;distr23;poloShirt;target;3;3;shirt;clothing;pretzels;distrClass3;4;2;NA;snack;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;polo;;1.45E+12;polo;FALSE;FALSE;TRUE;;;;;TRUE;;;poloShirt;NA;NA;;;;;;;pretzels, poloShirt;pretzels, shirt;pretzels, clothing;bathrobe, poloShirt;bathrobe, shirt;bathrobe, clothing
9807-5;1.45E+12;2;subSuperTrial;distr23;convertible;target;4;2;car;vehicle;firetruck;distrClass2;2;3;NA;vehicle;bathrobe;distrClass3;3;4;NA;clothing;1;1;0;the race car!;;1.45E+12;the race car!;FALSE;FALSE;TRUE;;;;;;;TRUE;convertible;NA;NA;;;;;;;firetruck, convertible;firetruck, car;firetruck, vehicle;bathrobe, convertible;bathrobe, car;bathrobe, vehicle
8430-f;1.45E+12;2;subSuperTrial;distr23;dressShirt;target;3;2;shirt;clothing;horse;distrClass3;4;3;NA;animal;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;blue shirt;;1.45E+12;blue shirt;FALSE;TRUE;FALSE;;TRUE;;;;;;dressShirt;NA;NA;;;;;;;horse, dressShirt;horse, shirt;horse, clothing;bathrobe, dressShirt;bathrobe, shirt;bathrobe, clothing
5934-3;1.45E+12;38;subSuperTrial;distr23;eagle;target;3;2;bird;animal;pig;distrClass2;2;4;NA;animal;bathrobe;distrClass3;4;3;NA;clothing;3;2;1;crushing disappointment___bald eagle;ooo yeah.~~~~~~;1449261550235___1449261556851___1449261557767;crushing disappointment;FALSE;FALSE;TRUE;;;;;;;;eagle;NA;NA;;;;;;;pig, eagle;pig, bird;pig, animal;bathrobe, eagle;bathrobe, bird;bathrobe, animal
3695-5;1.45E+12;64;subSuperTrial;distr23;diningTable;target;4;3;table;furniture;wardrobe;distrClass2;2;4;NA;furniture;bathrobe;distrClass3;3;2;NA;clothing;1;1;0;table;;1.45E+12;table;FALSE;FALSE;FALSE;;TRUE;;;;;;diningTable;NA;NA;;;;;;;wardrobe, diningTable;wardrobe, table;wardrobe, furniture;bathrobe, diningTable;bathrobe, table;bathrobe, furniture
5076-0;1.45E+12;46;subSuperTrial;distr23;bedsideTable;target;4;2;table;furniture;ambulance;distrClass3;3;4;NA;vehicle;bed;distrClass2;2;3;NA;furniture;1;1;0;Nightstand;;1.45E+12;Nightstand;FALSE;FALSE;TRUE;;;;;;;;bedsideTable;NA;NA;;;;;;;ambulance, bedsideTable;ambulance, table;ambulance, furniture;bed, bedsideTable;bed, table;bed, furniture
3695-5;1.45E+12;2;subSuperTrial;distr23;pandaBear;target;4;4;bear;animal;horse;distrClass2;2;3;NA;animal;bed;distrClass3;3;2;NA;furniture;1;1;0;panda;;1.45E+12;panda;FALSE;FALSE;TRUE;;;;;;;;pandaBear;NA;NA;;;;;;;horse, pandaBear;horse, bear;horse, animal;bed, pandaBear;bed, bear;bed, animal
2919-a;1.45E+12;25;subSuperTrial;distr23;bedsideTable;target;2;2;table;furniture;dress;distrClass3;4;4;NA;clothing;bed;distrClass2;3;3;NA;furniture;1;1;0;end table;;1.45E+12;end table;FALSE;FALSE;TRUE;;;;;;;;bedsideTable;NA;NA;;;;;;;dress, bedsideTable;dress, table;dress, furniture;bed, bedsideTable;bed, table;bed, furniture
8286-0;1.45E+12;60;subSuperTrial;distr23;parrot;target;2;2;bird;animal;pig;distrClass2;4;3;NA;animal;bed;distrClass3;3;4;NA;furniture;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;parrot;NA;NA;;;;;;;pig, parrot;pig, bird;pig, animal;bed, parrot;bed, bird;bed, animal
6456-4;1.45E+12;15;subSuperTrial;distr23;hummingBird;target;3;3;bird;animal;bookcase;distrClass3;4;2;NA;furniture;bison;distrClass2;2;4;NA;animal;1;1;0;bird;;1.45E+12;bird;FALSE;FALSE;FALSE;;TRUE;;;;;;hummingBird;NA;NA;;;;;;;bookcase, hummingBird;bookcase, bird;bookcase, animal;bison, hummingBird;bison, bird;bison, animal
4842-f;1.45E+12;67;subSuperTrial;distr23;grizzlyBear;target;4;2;bear;animal;lamp;distrClass3;3;4;NA;furniture;bison;distrClass2;2;3;NA;animal;1;1;0;will kill you first;;1.45E+12;will kill you first;FALSE;FALSE;FALSE;TRUE;;;;;;;grizzlyBear;NA;NA;;;;;;;lamp, grizzlyBear;lamp, bear;lamp, animal;bison, grizzlyBear;bison, bear;bison, animal
2919-a;1.45E+12;56;subSuperTrial;distr23;grizzlyBear;target;4;2;bear;animal;elephant;distrClass2;3;4;NA;animal;ambulance;distrClass3;2;3;NA;vehicle;1;1;0;bear;;1.45E+12;bear;FALSE;FALSE;FALSE;;TRUE;;;;;;grizzlyBear;NA;NA;;;;;;;elephant, grizzlyBear;elephant, bear;elephant, animal;ambulance, grizzlyBear;ambulance, bear;ambulance, animal
4393-a;1.45E+12;20;subSuperTrial;distr23;poloShirt;target;3;3;shirt;clothing;cookies;distrClass3;4;2;NA;snack;bathrobe;distrClass2;2;4;NA;clothing;1;1;0;Blue shirt;;1.45E+12;Blue shirt;FALSE;TRUE;FALSE;;TRUE;;;;;;poloShirt;NA;NA;;;;;;;cookies, poloShirt;cookies, shirt;cookies, clothing;bathrobe, poloShirt;bathrobe, shirt;bathrobe, clothing
1223-7;1.45E+12;62;subSuperTrial;distr23;parrot;target;4;3;bird;animal;iguana;distrClass2;2;2;NA;animal;bathrobe;distrClass3;3;4;NA;clothing;1;1;0;parrot;;1.45E+12;parrot;FALSE;FALSE;TRUE;;;;;;;;parrot;NA;NA;;;;;;;iguana, parrot;iguana, bird;iguana, animal;bathrobe, parrot;bathrobe, bird;bathrobe, animal
3695-5;1.45E+12;23;subSuperTrial;distr23;convertible;target;3;2;car;vehicle;train;distrClass2;4;4;NA;vehicle;bathrobe;distrClass3;2;3;NA;clothing;1;1;0;car;;1.45E+12;car;FALSE;FALSE;FALSE;;TRUE;;;;;;convertible;NA;NA;;;;;;;train, convertible;train, car;train, vehicle;bathrobe, convertible;bathrobe, car;bathrobe, vehicle
5975-e;1.45E+12;48;subSuperTrial;distr23;diningTable;target;2;2;table;furniture;sheep;distrClass3;4;4;NA;animal;bed;distrClass2;3;3;NA;furniture;1;1;0;wood top;;1.45E+12;wood top;FALSE;FALSE;FALSE;TRUE;;;;;;;diningTable;NA;NA;;;;;;;sheep, diningTable;sheep, table;sheep, furniture;bed, diningTable;bed, table;bed, furniture
5975-e;1.45E+12;15;subSuperTrial;distr23;suv;target;4;4;car;vehicle;train;distrClass2;3;3;NA;vehicle;bed;distrClass3;2;2;NA;furniture;1;1;0;silver;;1.45E+12;silver;FALSE;TRUE;FALSE;;;;;;;;suv;NA;NA;;;;;;;train, suv;train, car;train, vehicle;bed, suv;bed, car;bed, vehicle
1223-7;1.45E+12;2;subSuperTrial;distr23;hummingBird;target;2;3;bird;animal;chick;distrClass2;4;2;NA;animal;bed;distrClass3;3;4;NA;furniture;1;1;0;The flying animal;;1.45E+12;The flying animal;FALSE;FALSE;FALSE;;;TRUE;TRUE;;;TRUE;hummingBird;NA;NA;;;;;;;chick, hummingBird;chick, bird;chick, animal;bed, hummingBird;bed, bird;bed, animal
