"","X","gameid","time","roundNum","trialType","condition","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","basiclevelClickedObj","superdomainClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt1Basiclevel","alt1superdomain","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","alt2Basiclevel","alt2superdomain","alt3Name","alt3TargetStatus","alt3SpLocs","alt3LisLocs","alt3Basiclevel","alt3superdomain","alt4Name","alt4TargetStatus","alt4SpLocs","alt4LisLocs","alt4Basiclevel","alt4superdomain","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","sizeMentioned","colorMentioned","typeMentioned","typeMentioned_after_manual_correction","clickedType","clickedSize","clickedColor","column1","column2","column3","column4","column5"
"391",796,"3293-5",1449256304175,4,"subSuperTrial","distr12","pandaBear","target",3,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"bison","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"koalaBear","distrClass1",4,3,"bear","animal",1,1,0,"panda","","1449256301314","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"393",801,"3293-5",1449256392508,9,"subSuperTrial","distr33","swordFish","target",3,4,"fish","animal","blackStimulus",NA,5,5,NA,NA,"bathrobe","distrClass3",4,2,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"ambulance","distrClass3",2,3,NA,"vehicle",1,1,0,"swordfish","","1449256389752","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"399",817,"3293-5",1449256713381,25,"subSuperTrial","distr23","jellyBeans","target",2,2,"candy","snack","pretzels","distrClass2",4,4,NA,"snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"socks","distrClass3",3,3,NA,"clothing",1,1,0,"jelly beans","","1449256711243","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"401",819,"3293-5",1449256742885,27,"subSuperTrial","distr12","minivan","target",3,4,"car","vehicle","sedan","distrClass1",4,3,"car","vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"motorcycle","distrClass2",2,2,NA,"vehicle",1,1,0,"van","","1449256739013","van","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"403",826,"3293-5",1449256873372,34,"subSuperTrial","distr23","pigeon","target",3,4,"bird","animal","kitten","distrClass2",2,2,NA,"animal","train","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"pigeon","","1449256870353","pigeon","False","False","True",TRUE,"pigeon",NA,NA,"",NA,NA,NA,NA
"405",835,"3293-5",1449257011539,43,"subSuperTrial","distr22","gummyBears","target",2,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"cookies","distrClass2",3,2,NA,"snack","pretzels","distrClass2",4,3,NA,"snack",1,1,0,"gummi","","1449257010239","gummi","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"406",839,"3293-5",1449257148159,47,"subSuperTrial","distr12","mnMs","target",4,2,"candy","snack","candyCorn","distrClass1",3,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",2,3,NA,"snack","blackStimulus",NA,1,1,NA,NA,1,1,0,"m & m","","1449257120889","m & m","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"407",841,"3293-5",1449257176936,49,"subSuperTrial","distr22","eagle","target",4,2,"bird","animal","pig","distrClass2",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"elephant","distrClass2",2,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"eagle","","1449257175455","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"410",848,"3293-5",1449257262700,56,"subSuperTrial","distr22","polarBear","target",4,3,"bear","animal","blackStimulus",NA,1,1,NA,NA,"kitten","distrClass2",3,4,NA,"animal","crocodile","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"polar","","1449257256737","polar","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"413",851,"3293-5",1449257295087,59,"subSuperTrial","distr23","parrot","target",4,2,"bird","animal","sheep","distrClass2",3,3,NA,"animal","dress","distrClass3",2,4,NA,"clothing","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"parrot","","1449257293721","parrot","False","False","True",TRUE,"parrot",NA,NA,"",NA,NA,NA,NA
"422",863,"3293-5",1449257468872,71,"subSuperTrial","distr12","hummingBird","target",4,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sparrow","distrClass1",3,2,"bird","animal","elephant","distrClass2",2,4,NA,"animal",1,1,0,"humminbird","","1449257467175","humminbird","False","False","False",TRUE,"hummingBird",NA,NA,"",NA,NA,NA,NA
"429",878,"5975-e",1449256569339,14,"subSuperTrial","distr12","gummyBears","target",3,3,"candy","snack","candyCorn","distrClass1",2,4,"candy","snack","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",4,2,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"gummies","","1449256567955","gummies","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"434",895,"5975-e",1449256680026,31,"subSuperTrial","distr33","catfish","target",3,4,"fish","animal","firetruck","distrClass3",4,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",2,2,NA,"plant",1,1,0,"catfish","","1449256678864","catfish","False","False","True",TRUE,"catfish",NA,NA,"",NA,NA,NA,NA
"435",897,"5975-e",1449256698747,33,"subSuperTrial","distr12","polarBear","target",3,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,"pig","distrClass2",4,2,NA,"animal","koalaBear","distrClass1",2,4,"bear","animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"polar","","1449256697527","polar","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"437",900,"5975-e",1449256716891,36,"subSuperTrial","distr12","hawaiiShirt","target",2,4,"shirt","clothing","blackStimulus",NA,5,5,NA,NA,"campShirt","distrClass1",4,2,"shirt","clothing","dress","distrClass2",3,3,NA,"clothing","blackStimulus",NA,1,1,NA,NA,1,1,0,"hawiian","","1449256715603","hawiian","False","False","False",TRUE,"hawaiiShirt",NA,NA,"",NA,NA,NA,NA
"461",940,"9551-7",1449255774851,4,"subSuperTrial","distr12","daisy","target",4,2,"flower","plant","ivy","distrClass2",2,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,"lily","distrClass1",3,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"the daisy","","1449255770979","the daisy","False","False","True",TRUE,"daisy",NA,NA,"",NA,NA,NA,NA
"462",941,"9551-7",1449255783152,5,"subSuperTrial","distr12","pigeon","target",3,4,"bird","animal","sheep","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"sparrow","distrClass1",4,3,"bird","animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"a pigeon","","1449255781392","a pigeon","False","False","True",TRUE,"pigeon",NA,NA,"",NA,NA,NA,NA
"473",963,"9551-7",1449255919242,27,"subSuperTrial","distr12","germanShepherd","target",4,4,"dog","animal","greyhound","distrClass1",3,2,"dog","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"kitten","distrClass2",2,3,NA,"animal",1,1,0,"german shepard","","1449255916527","german shepard","False","False","False",TRUE,"germanShepherd",NA,NA,"",NA,NA,NA,NA
"475",966,"9551-7",1449255940449,30,"subSuperTrial","distr22","minivan","target",2,2,"car","vehicle","motorcycle","distrClass2",3,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"ambulance","distrClass2",4,4,NA,"vehicle",1,1,0,"minivan","","1449255938885","minivan","False","False","True",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"478",977,"9551-7",1449256000384,41,"subSuperTrial","distr23","convertible","target",4,2,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"iguana","distrClass3",2,3,NA,"animal","firetruck","distrClass2",3,4,NA,"vehicle",1,1,0,"convertibel","","1449255998645","convertibel","False","False","False",TRUE,"convertible",NA,NA,"",NA,NA,NA,NA
"481",982,"9551-7",1449256036017,46,"subSuperTrial","distr22","suv","target",3,2,"car","vehicle","train","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"ambulance","distrClass2",4,4,NA,"vehicle",1,1,0,"suv","","1449256034131","suv","False","False","True",TRUE,"suv",NA,NA,"",NA,NA,NA,NA
"482",985,"9551-7",1449256053496,49,"subSuperTrial","distr12","polarBear","target",2,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass2",3,4,NA,"animal","koalaBear","distrClass1",4,3,"bear","animal","blackStimulus",NA,5,5,NA,NA,1,1,0,"bear polar","","1449256051611","bear polar","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"489",1000,"9551-7",1449256144767,64,"subSuperTrial","distr12","pandaBear","target",2,3,"bear","animal","elephant","distrClass2",4,2,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"koalaBear","distrClass1",3,4,"bear","animal",1,1,0,"panda","","1449256143237","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"490",1002,"9551-7",1449256154110,66,"subSuperTrial","distr22","eagle","target",3,3,"bird","animal","snake","distrClass2",2,2,NA,"animal","horse","distrClass2",4,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"eagle","","1449256153150","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"491",1003,"9551-7",1449256162680,67,"subSuperTrial","distr12","jellyBeans","target",2,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",4,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"candyCorn","distrClass1",3,2,"candy","snack",1,1,0,"jellybeans","","1449256160506","jellybeans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"493",1007,"9551-7",1449256183550,71,"subSuperTrial","distr23","rose","target",3,4,"flower","plant","ivy","distrClass2",2,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"firetruck","distrClass3",4,2,NA,"vehicle",1,1,0,"rose","","1449256181565","rose","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"525",1070,"7111-e",1449257326023,13,"subSuperTrial","distr23","clownFish","target",4,2,"fish","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"grasses","distrClass3",2,3,NA,"plant","pig","distrClass2",3,4,NA,"animal",1,1,0,"clown orang","","1449257323319","clown orang","False","False","False",TRUE,"clownFish",NA,NA,"",NA,NA,NA,NA
"534",1091,"7111-e",1449257502471,34,"subSuperTrial","distr33","hawaiiShirt","target",2,3,"shirt","clothing","blackStimulus",NA,1,1,NA,NA,"chick","distrClass3",4,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"lobster","distrClass3",3,4,NA,"animal",1,1,0,"hawaii","","1449257500435","hawaii","False","False","False",TRUE,"hawaiiShirt",NA,NA,"",NA,NA,NA,NA
"536",1096,"7111-e",1449257541004,39,"subSuperTrial","distr33","swordFish","target",2,2,"fish","animal","blackStimulus",NA,5,5,NA,NA,"firetruck","distrClass3",3,3,NA,"vehicle","train","distrClass3",4,4,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,1,1,0,"sword","","1449257539345","sword","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"556",1136,"5239-5",1449258010655,7,"subSuperTrial","distr22","jellyBeans","target",4,2,"candy","snack","blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass2",3,4,NA,"snack","popcorn","distrClass2",2,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"jelly beans","","1449258008382","jelly beans","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"558",1139,"5239-5",1449258039319,10,"subSuperTrial","distr23","picnicTable","target",4,4,"table","furniture","blackStimulus",NA,5,5,NA,NA,"cookies","distrClass3",2,2,NA,"snack","blackStimulus",NA,1,1,NA,NA,"bookcase","distrClass2",3,3,NA,"furniture",1,1,0,"picnic table","","1449258034464","picnic table","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"559",1143,"5239-5",1449258086250,14,"subSuperTrial","distr12","swordFish","target",3,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",2,2,NA,"animal","discusFish","distrClass1",4,4,"fish","animal",1,1,0,"swordfish","","1449258083911","swordfish","False","False","False",TRUE,"swordFish",NA,NA,"",NA,NA,NA,NA
"562",1152,"5239-5",1449258163946,23,"subSuperTrial","distr12","parrot","target",3,4,"bird","animal","blackStimulus",NA,5,5,NA,NA,"sparrow","distrClass1",2,2,"bird","animal","blackStimulus",NA,1,1,NA,NA,"squirrel","distrClass2",4,3,NA,"animal",1,1,0,"parrot","","1449258161893","parrot","False","False","True",TRUE,"parrot",NA,NA,"",NA,NA,NA,NA
"563",1153,"5239-5",1449258175130,24,"subSuperTrial","distr23","polarBear","target",4,4,"bear","animal","chick","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"grasses","distrClass3",3,3,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"polo bear","","1449258171803","polo bear","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"564",1155,"5239-5",1449258193126,26,"subSuperTrial","distr22","gummyBears","target",4,2,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"chips","distrClass2",2,4,NA,"snack","cookies","distrClass2",3,3,NA,"snack",1,1,0,"gummies","","1449258190815","gummies","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"565",1157,"5239-5",1449258234493,28,"subSuperTrial","distr12","coffeeTable","target",2,2,"table","furniture","blackStimulus",NA,1,1,NA,NA,"wardrobe","distrClass2",3,3,NA,"furniture","blackStimulus",NA,5,5,NA,NA,"sideTable","distrClass1",4,4,"table","furniture",5,4,1,"coffee table___small one___short and stout___yes","the table with a shelf underneath?","1449258207744___1449258210968___1449258229073___1449258229217___1449258232575","coffee table","False","False","False",TRUE,"coffeeTable",NA,NA,"",NA,NA,NA,NA
"566",1159,"5239-5",1449258257661,30,"subSuperTrial","distr22","sunflower","target",4,3,"flower","plant","blackStimulus",NA,5,5,NA,NA,"ivy","distrClass2",2,2,NA,"plant","pottedPlant","distrClass2",3,4,NA,"plant","blackStimulus",NA,1,1,NA,NA,1,1,0,"sunflower","","1449258255296","sunflower","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"568",1166,"5239-5",1449258319285,37,"subSuperTrial","distr12","pug","target",3,4,"dog","animal","greyhound","distrClass1",4,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"rabbit","distrClass2",2,3,NA,"animal",1,1,0,"pug","","1449258316868","pug","False","False","True",TRUE,"pug",NA,NA,"",NA,NA,NA,NA
"569",1167,"5239-5",1449258327176,38,"subSuperTrial","distr33","clownFish","target",3,4,"fish","animal","blackStimulus",NA,1,1,NA,NA,"train","distrClass3",4,2,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"bed","distrClass3",2,3,NA,"furniture",1,1,0,"clownfish","","1449258324785","clownfish","False","False","False",TRUE,"clownFish",NA,NA,"",NA,NA,NA,NA
"571",1170,"5239-5",1449258354865,41,"subSuperTrial","distr33","mnMs","target",3,3,"candy","snack","rosemary","distrClass3",4,4,NA,"plant","elephant","distrClass3",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,2,1,1,"m&m's","he was a little scary","1449258346502___1449258353053","m&m's","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"572",1171,"5239-5",1449258364397,42,"subSuperTrial","distr33","hummingBird","target",3,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"bookcase","distrClass3",4,2,NA,"furniture","wardrobe","distrClass3",2,4,NA,"furniture","blackStimulus",NA,1,1,NA,NA,1,1,0,"humming bird","","1449258361968","humming bird","False","False","False",TRUE,"hummingBird",NA,NA,"",NA,NA,NA,NA
"573",1172,"5239-5",1449258370250,43,"subSuperTrial","distr23","goldFish","target",4,3,"fish","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass3",3,4,NA,"plant","squirrel","distrClass2",2,2,NA,"animal",1,1,0,"goldfish","","1449258368581","goldfish","False","False","False",TRUE,"goldFish",NA,NA,"",NA,NA,NA,NA
"575",1175,"5239-5",1449258400105,46,"subSuperTrial","distr23","diningTable","target",2,4,"table","furniture","blackStimulus",NA,5,5,NA,NA,"elephant","distrClass3",3,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"lamp","distrClass2",4,2,NA,"furniture",1,1,0,"coffee table","","1449258396425","coffee table","False","False","False",TRUE,"diningTable",NA,NA,"",NA,NA,NA,NA
"576",1176,"5239-5",1449258409060,47,"subSuperTrial","distr22","dalmatian","target",3,2,"dog","animal","blackStimulus",NA,5,5,NA,NA,"cow","distrClass2",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,"snake","distrClass2",4,3,NA,"animal",1,1,0,"dalmation","","1449258404735","dalmation","False","False","False",TRUE,"dalmatian",NA,NA,"",NA,NA,NA,NA
"577",1179,"5239-5",1449258437055,50,"subSuperTrial","distr33","bedsideTable","target",3,2,"table","furniture","crocodile","distrClass3",2,4,NA,"animal","elephant","distrClass3",4,3,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"nightstand","","1449258434877","nightstand","False","False","False",TRUE,"bedsideTable",NA,NA,"",NA,NA,NA,NA
"578",1180,"5239-5",1449258445237,51,"subSuperTrial","distr22","germanShepherd","target",4,3,"dog","animal","chick","distrClass2",2,2,NA,"animal","rhino","distrClass2",3,4,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"german shepard","","1449258442942","german shepard","False","False","False",TRUE,"germanShepherd",NA,NA,"",NA,NA,NA,NA
"580",1186,"5239-5",1449258493987,57,"subSuperTrial","distr12","skittles","target",4,2,"candy","snack","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"candyCorn","distrClass1",3,3,"candy","snack","pretzels","distrClass2",2,4,NA,"snack",1,1,0,"skittles","","1449258491271","skittles","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"581",1191,"5239-5",1449258533610,62,"subSuperTrial","distr23","eagle","target",2,3,"bird","animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"sheep","distrClass2",3,2,NA,"animal","socks","distrClass3",4,4,NA,"clothing",1,1,0,"eagle","","1449258531713","eagle","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"583",1194,"5239-5",1449258558387,65,"subSuperTrial","distr12","pandaBear","target",4,4,"bear","animal","blackStimulus",NA,5,5,NA,NA,"cow","distrClass2",2,3,NA,"animal","koalaBear","distrClass1",3,2,"bear","animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"panda","","1449258556277","panda","False","False","False",TRUE,"pandaBear",NA,NA,"",NA,NA,NA,NA
"586",1199,"5239-5",1449258599489,70,"subSuperTrial","distr12","husky","target",2,2,"dog","animal","snake","distrClass2",3,3,NA,"animal","greyhound","distrClass1",4,4,"dog","animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"husky","","1449258596549","husky","False","False","True",TRUE,"husky",NA,NA,"",NA,NA,NA,NA
"591",1209,"2195-2",1449255948663,8,"subSuperTrial","distr33","eagle","target",2,3,"bird","animal","ivy","distrClass3",4,2,NA,"plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"ivy","distrClass3",3,4,NA,"plant",1,1,0,"EAGLE","","1449255947554","EAGLE","False","False","True",TRUE,"eagle",NA,NA,"",NA,NA,NA,NA
"592",1211,"2195-2",1449255960375,10,"subSuperTrial","distr12","minivan","target",4,2,"car","vehicle","sedan","distrClass1",3,4,"car","vehicle","ambulance","distrClass2",2,3,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,1,1,0,"WHITE VAN","","1449255958732","WHITE VAN","False","False","False",TRUE,"minivan",NA,NA,"",NA,NA,NA,NA
"596",1217,"2195-2",1449255994463,16,"subSuperTrial","distr12","rose","target",3,4,"flower","plant","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",2,3,"flower","plant","ivy","distrClass2",4,2,NA,"plant",1,1,0,"ROSE","","1449255993395","ROSE","False","False","True",TRUE,"rose",NA,NA,"",NA,NA,NA,NA
"597",1218,"2195-2",1449256001135,17,"subSuperTrial","distr12","husky","target",2,2,"dog","animal","greyhound","distrClass1",3,4,"dog","animal","blackStimulus",NA,5,5,NA,NA,"chick","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"WOLF","","1449255999818","WOLF","False","False","False",TRUE,"husky",NA,NA,"",NA,NA,NA,NA
"599",1221,"2195-2",1449256021304,20,"subSuperTrial","distr22","poloShirt","target",4,4,"shirt","clothing","bathrobe","distrClass2",2,2,NA,"clothing","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"dress","distrClass2",3,3,NA,"clothing",1,1,0,"POLO SHIRT","","1449256020080","POLO SHIRT","False","False","False",TRUE,"poloShirt",NA,NA,"",NA,NA,NA,NA
"601",1224,"2195-2",1449256039984,23,"subSuperTrial","distr12","suv","target",2,4,"car","vehicle","blackStimulus",NA,1,1,NA,NA,"sedan","distrClass1",3,3,"car","vehicle","ambulance","distrClass2",4,2,NA,"vehicle","blackStimulus",NA,5,5,NA,NA,1,1,0,"WHITE SUV","","1449256037613","WHITE SUV","False","False","True",TRUE,"suv",NA,NA,"",NA,NA,NA,NA
"602",1226,"2195-2",1449256051944,25,"subSuperTrial","distr33","mnMs","target",2,4,"candy","snack","crocodile","distrClass3",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"grasses","distrClass3",3,2,NA,"plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"M&M","","1449256050860","M&M","False","False","False",TRUE,"mnMs",NA,NA,"",NA,NA,NA,NA
"605",1231,"2195-2",1449256082824,30,"subSuperTrial","distr22","tulip","target",3,3,"flower","plant","blackStimulus",NA,1,1,NA,NA,"pottedPlant","distrClass2",2,2,NA,"plant","grasses","distrClass2",4,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,1,1,0,"ROSE","","1449256081312","ROSE","False","False","False",TRUE,"tulip",NA,NA,"",NA,NA,NA,NA
"606",1233,"2195-2",1449256094128,32,"subSuperTrial","distr22","picnicTable","target",2,3,"table","furniture","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"bed","distrClass2",4,2,NA,"furniture","bookcase","distrClass2",3,4,NA,"furniture",1,1,0,"PICNIC TABLE","","1449256092646","PICNIC TABLE","False","False","False",TRUE,"picnicTable",NA,NA,"",NA,NA,NA,NA
"608",1236,"2195-2",1449256118360,35,"subSuperTrial","distr23","polarBear","target",2,2,"bear","animal","blackStimulus",NA,5,5,NA,NA,"ambulance","distrClass3",3,3,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"elephant","distrClass2",4,4,NA,"animal",1,1,0,"POLAR BEAR","","1449256115690","POLAR BEAR","False","False","False",TRUE,"polarBear",NA,NA,"",NA,NA,NA,NA
"609",1242,"2195-2",1449256159329,41,"subSuperTrial","distr12","daisy","target",3,4,"flower","plant","pottedPlant","distrClass2",2,3,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"lily","distrClass1",4,2,"flower","plant",1,1,0,"DAISY","","1449256157044","DAISY","False","False","True",TRUE,"daisy",NA,NA,"",NA,NA,NA,NA
"611",1246,"2195-2",1449256189985,45,"subSuperTrial","distr33","gummyBears","target",4,3,"candy","snack","blackStimulus",NA,5,5,NA,NA,"train","distrClass3",3,2,NA,"vehicle","squirrel","distrClass3",2,4,NA,"animal","blackStimulus",NA,1,1,NA,NA,1,1,0,"GUMMIE BEARS","","1449256188937","GUMMIE BEARS","False","False","False",TRUE,"gummyBears",NA,NA,"",NA,NA,NA,NA
"614",1255,"2195-2",1449256244329,54,"subSuperTrial","distr12","sunflower","target",2,4,"flower","plant","blackStimulus",NA,5,5,NA,NA,"lily","distrClass1",4,2,"flower","plant","blackStimulus",NA,1,1,NA,NA,"ivy","distrClass2",3,3,NA,"plant",1,1,0,"SUNFLOWER","","1449256242424","SUNFLOWER","False","False","True",TRUE,"sunflower",NA,NA,"",NA,NA,NA,NA
"615",1256,"2195-2",1449256250169,55,"subSuperTrial","distr22","parrot","target",4,3,"bird","animal","snake","distrClass2",2,2,NA,"animal","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"cow","distrClass2",3,4,NA,"animal",1,1,0,"PARROT","","1449256249208","PARROT","False","False","True",TRUE,"parrot",NA,NA,"",NA,NA,NA,NA
"616",1263,"2195-2",1449256302649,62,"subSuperTrial","distr33","hummingBird","target",3,3,"bird","animal","grasses","distrClass3",4,4,NA,"plant","blackStimulus",NA,5,5,NA,NA,"blackStimulus",NA,1,1,NA,NA,"chips","distrClass3",2,2,NA,"snack",1,1,0,"HUMMIONGBIRD","","1449256301671","HUMMIONGBIRD","False","False","False",TRUE,"hummingBird",NA,NA,"",NA,NA,NA,NA
"617",1264,"2195-2",1449256308474,63,"subSuperTrial","distr22","skittles","target",2,2,"candy","snack","chips","distrClass2",3,4,NA,"snack","blackStimulus",NA,1,1,NA,NA,"pretzels","distrClass2",4,3,NA,"snack","blackStimulus",NA,5,5,NA,NA,1,1,0,"SKITTLES","","1449256307007","SKITTLES","False","False","True",TRUE,"skittles",NA,NA,"",NA,NA,NA,NA
"623",1272,"2195-2",1449256360994,71,"subSuperTrial","distr23","jellyBeans","target",3,4,"candy","snack","blackStimulus",NA,5,5,NA,NA,"train","distrClass3",4,2,NA,"vehicle","blackStimulus",NA,1,1,NA,NA,"popcorn","distrClass2",2,3,NA,"snack",1,1,0,"JELLY BEANS","","1449256360017","JELLY BEANS","False","False","False",TRUE,"jellyBeans",NA,NA,"",NA,NA,NA,NA
"624",1273,"2195-2",1449256376883,72,"subSuperTrial","distr12","pigeon","target",3,4,"bird","animal","sparrow","distrClass1",2,2,"bird","animal","crocodile","distrClass2",4,3,NA,"animal","blackStimulus",NA,1,1,NA,NA,"blackStimulus",NA,5,5,NA,NA,1,1,0,"PIGEON","","1449256375146","PIGEON","False","False","True",TRUE,"pigeon",NA,NA,"",NA,NA,NA,NA
